source	target	lib	tfidfMax	tfidfDistances
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0104MujahidIbnJabr.Tafsir.JK000459-ara1	RELEASE	0.99945	[0.99945]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	34071.json	RAWrabicaShamAY2	0.99895	[0.99895]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	12810.json	RAWrabicaShamAY2	0.99722	[0.99722]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0104MujahidIbnJabr.Tafsir.Shamela0012810-ara2	RELEASE	0.99704	[0.99704]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1	RELEASE	0.99053	[0.99053]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0104MujahidIbnJabr.Tafsir.Tafsir02078-ara1	RELEASE	0.98289	[0.98289]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	Shia002456Vols	RAWrabica040000	0.95236	[0.95236]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0347IbnHazlam.Mashyakha.Shamela0029933-ara1	RELEASE	0.73441	[0.73441]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0343IbnSulaymanAtrabulusi.Hadith.Shamela0029862-ara1	RELEASE	0.7311	[0.7311]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	33707.json	RAWrabicaShamAY2	0.73036	[0.73036]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0347IbnHazlam.Juz.ShamAY0033707-ara1	RELEASE	0.72796	[0.72796]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0340IbnAcrabiBasri.Mucjam.JK011633-ara1	RELEASE	0.72465	[0.72465]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	Shamela029933.txt	raw_ShamelaY19	0.72327	[0.72327]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	Shamela029862.txt	raw_ShamelaY19	0.72018	[0.72018]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	29933.json	RAWrabicaShamAY2	0.71769	[0.71769]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	29862.json	RAWrabicaShamAY2	0.71303	[0.71303]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	8215.json	RAWrabicaShamAY1	0.71176	[0.71176]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	915.json	RAWrabicaShamAY1	0.71173	[0.71173]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0275AbuDawudSijistani.Zuhd.Shamela0008215-ara1	RELEASE	0.71107	[0.71107]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0275AbuDawudSijistani.Zuhd.JK011358-ara1	RELEASE	0.71038	[0.71038]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	Shamela021494.txt	raw_ShamelaY19	0.70821	[0.70821]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0340IbnAcrabiBasri.Mucjam.Shamela0021494-ara1	RELEASE	0.70772	[0.70772]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	Sham30K0008215	RAWrabica010000	0.70696	[0.70696]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0227IbnMansurKhurasani.TafsirMinSunanSacid.Shamela0013008-ara1	RELEASE	0.70348	[0.70348]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	13008.bok.json	RAWrabicaSham19Y	0.70315	[0.70315]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0322AbuBakrZubayri.Fawaid.Shamela0030384-ara1	RELEASE	0.70133	[0.70133]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	13008.json	RAWrabicaShamAY2	0.70085	[0.70085]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	Shamela030384.txt	raw_ShamelaY19	0.69689	[0.69689]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	Shamela026426.txt	raw_ShamelaY19	0.69022	[0.69022]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0578IbnBashkuwal.AtharMarwiyya.Shamela0026426-ara1	RELEASE	0.68998	[0.68998]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0354IbnCabdAllahBazzaz.Fawaid.ShamAY0032846-ara1	RELEASE	0.68792	[0.68792]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	7351.json	RAWrabicaShamAY1	0.68777	[0.68777]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	32846.json	RAWrabicaShamAY2	0.68492	[0.68492]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	26426.json	RAWrabicaShamAY2	0.68404	[0.68404]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0327IbnAbiHatimRazi.JarhWaTacdil.Shia003082Vols-ara1	RELEASE	0.68303	[0.68303]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0327IbnAbiHatimRazi.JarhWaTacdil.Shamela0002170-ara1	RELEASE	0.68177	[0.68177]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0227IbnMansurKhurasani.Sunan.Shamela0013122-ara1	RELEASE	0.68083	[0.68083]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	30384.json	RAWrabicaShamAY2	0.68055	[0.68055]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0370IbnQasimKhayyat.Hadith.Shamela0029725-ara1	RELEASE	0.68045	[0.68045]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	Sham30K0038961	RAWrabica025000	0.67859	[0.67859]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0430AbuNucaymIsbahani.RiyadatAbdan.JK000596-ara1	RELEASE	0.67844	[0.67844]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	13122.json	RAWrabicaShamAY2	0.67709	[0.67709]
0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	0430AbuNucaymIsbahani.RiyadatAbdan.Shamela0013118-ara1	RELEASE	0.67659	[0.67659]
